     0,      0
     0,      x
     X,      x
     X,      X
-19368,  -1584
-19368,  10250
 -9572,  10250
 -9572,  15608
   406,  15608
   406,   9050
   342,   9050
   342,  -2512
-10380,  -2512
-10380,  -7822
-20232,  -7822
-20232,  -2432
-19320,  -2432
-19320,   9410
 -9924,   9410
 -9924,  14496
  -280,  14496
  -280,   7596
 -1312,   7596
 -1312,  -3544
-12260,  -3544
-12260,  -8316
-22086,  -8316
-22086,  -1920
-20654,  -1920
-20654,   9946
-10972,   9946
-10972,  15288
 -1560,  15288
 -1560,   8028
 -2664,   8028
 -2664,  -2536
-13714,  -2536
-13714,  -6846
-22710,  -6846
-22710,    222
-20710,    222
-20710,  11986
-10196,  11986
-10196,  16846
 -1056,  16846
 -1056,   9138
 -2120,   9138
 -2120,  -1720
-13346,  -1720
-13346,  -5638
-21806,  -5638
-21806,   1270
-19360,   1270
-19360,  12872
 -8732,  12872
 -8732,  16734
    14,  16734
    14,   8602
 -1864,   8602
 -1864,  -2616
-13322,  -2616
-13322,  -6062
-22014,  -6062
-22014,   1022
-19160,   1022
-19160,  12544
 -8932,  12544
 -8932,  16104
  -576,  16104
  -576,   7692
 -3320,   7692
 -3320,  -3032
-14922,  -3032
-14922,  -5918
-23446,  -5918
-23446,   2110
-20072,   2110
-20072,  13576
 -9532,  13576
 -9532,  17294
 -1464,  17294
 -1464,   8586
 -4214,   8586
 -4214,  -1568
-15842,  -1568
-15842,  -3960
-23406,  -3960
-23406,   4572
-19480,   4572
-19480,  15856
 -8166,  15856
 -8166,  18982
  -424,  18982
  -424,   9882
 -3112,   9882
 -3112,   -584
-14826,   -584
-14826,  -2560
-21806,  -2560
-21806,   5676
-17448,   5676
-17448,  16718
 -6126,  16718
 -6126,  18758
  1166,  18758
  1166,   9298
 -2336,   9298
 -2336,  -1528
-14202,  -1528
-14202,  -3016
-21390,  -3016
-21390,   5300
-16640,   5300
-16640,  16192
 -5806,  16192
 -5806,  17846
  1046,  17846
  1046,   8164
 -3328,   8164
 -3328,  -2128
-15234,  -2128
-15234,  -3032
-22230,  -3032
-22230,   6100
-16992,   6100
-16992,  16854
 -5934,  16854
 -5934,  18590
   574,  18590
   574,   8666
 -3808,   8666
 -3808,  -1056
-15666,  -1056
-15666,  -1472
-21702,  -1472
-21702,   8060
-15946,   8060
-15946,  18542
 -4270,  18542
 -4270,  19614
  1862,  19614
  1862,   9354
 -2528,   9354
 -2528,   -640
-14386,   -640
-14386,   -632
-19896,   -632
-19896,   8514
-13746,   8514
-13746,  18678
 -2232,  18678
 -2232,  18646
  3398,  18646
  3398,   8100
 -1872,   8100
 -1872,  -2160
-13802,  -2160
-13802,  -1656
-19552,  -1656
-19552,   7548
-13050,   7548
-13050,  17478
 -2168,  17478
 -2168,  17110
  2974,  17110
  2974,   6412
 -3184,   6412
 -3184,  -3192
-15074,  -3192
-15074,  -2128
-20638,  -2128
-20638,   7892
-13682,   7892
-13682,  17606
 -2704,  17606
 -2704,  17358
  2062,  17358
  2062,   6484
 -4102,   6484
 -4102,  -2440
-15858,  -2440
-15858,   -880
-20448,   -880
-20448,   9506
-13026,   9506
-13026,  18878
 -1544,  18878
 -1544,  18022
  2790,  18022
  2790,   6876
 -3368,   6876
 -3368,  -2200
-15066,  -2200
-15066,   -232
-19136,   -232
-19136,   9770
-11372,   9770
-11372,  18750
  -152,  18750
  -152,  16886
  3646,  16886
  3646,   5540
 -3376,   5540
 -3376,  -3648
-15066,  -3648
-15066,  -1184
-19320,  -1184
-19320,   8914
-11260,   8914
-11260,  17614
  -720,  17614
  -720,  15496
  2550,  15496
  2550,   4070
 -5246,   4070
 -5246,  -4302
-16816,  -4302
-16816,  -1280
-20774,  -1280
-20774,   9618
-12314,   9618
-12314,  18038
 -1680,  18038
 -1680,  16104
  1190,  16104
  1190,   4588
 -6502,   4588
 -6502,  -3008
-17856,  -3008
-17856,    494
-20750,    494
-20750,  11706
-11884,  11706
-11884,  19718
  -752,  19718
